Gene	cmp0_2365	cmp0_2430	cmp0_2682	cmp0_2687	cmp0_2767	cmp0_2816	cmp0_2822	cmp0_3164	cmp0_3242	cmp0_3439	cmp0_3476	cmp0_3482	cmp0_3507	cmp0_3629	cmp0_3646	cmp0_3724	cmp0_3742	cmp0_3791	cmp0_3816	cmp0_3920	cmp0_4028	cmp0_4166	cmp0_4198	cmp0_4339	cmp0_4340	cmp0_4388	cmp0_4409	cmp0_4463	cmp0_4479	cmp0_4744	cmp0_4751	cmp1_4780	cmp1_4789	cmp1_4796	cmp1_4810	cmp1_4815	cmp1_4840	cmp1_4867	cmp1_4870	cmp1_4946	cmp1_4996	cmp1_5010	cmp1_5027	cmp1_5054	cmp1_5061	cmp1_5099	cmp1_5118	cmp1_5136	cmp1_5155	cmp1_5160	cmp1_5213	cmp1_5242	cmp1_5264	cmp1_5319	cmp1_5325	cmp1_5331	cmp1_5334	cmp1_5361	cmp2_5430	cmp2_5485	cmp2_5523	cmp2_5542	cmp2_5687	cmp2_5709	cmp2_5796	cmp2_5872	cmp2_5874	cmp2_5950	cmp2_6074	cmp2_6106	cmp2_6123	cmp2_6251	cmp2_6333	cmp2_6405	cmp2_6531	cmp2_6603	cmp2_6628	cmp2_6701	gmp_6983	gmp_7493	gmp_7710	gmp_7798	hsc_1004	hsc_1015	hsc_1123	hsc_1200	hsc_1202	hsc_1270	hsc_131	hsc_1338	hsc_1339	hsc_1367	hsc_1413	hsc_1429	hsc_1534	hsc_1535	hsc_1579	hsc_1598	hsc_1601	hsc_1610	hsc_1617	hsc_1619	hsc_1691	hsc_1702	hsc_1818	hsc_1907	hsc_1914	hsc_1985	hsc_2007	hsc_2027	hsc_2031	hsc_2066	hsc_2095	hsc_2167	hsc_2178	hsc_2203	hsc_2205	hsc_2211	hsc_2222	hsc_224	hsc_257	hsc_268	hsc_316	hsc_336	hsc_353	hsc_354	hsc_383	hsc_422	hsc_46	hsc_506	hsc_54	hsc_555	hsc_589	hsc_618	hsc_668	hsc_716	hsc_75	hsc_763	hsc_778	hsc_809	hsc_848	hsc_92	hsc_939
FKBP7_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.933078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.709649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.384536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.991113	0	0	1.947596	0	0	0	0	0	0	0	0	0	0	0
ITGAV_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9007	0	0	0	0	0	0	0	3.104523	2.649553	0	0	0	0	0	0	0	0	2.938978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.964611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.963376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP1_cluster3	0	0	0	0	2.244658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.196677	0	0	0	0	2.155539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.535142	0	0	0	0	0	0	0	0	2.041583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLS_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	1.661749	0	0	0	0	0	0	0	0	1.848813	0	0	0	0	0	0	0	0	2.046414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.929534	0	0	0	0	0	0	0	0	0	2.109189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.106516	0	0	0	0
HSPD1_cluster3	0.723283	0	1.612703	0	0.771438	0.91768	1.040255	0.737348	1.077905	0.94665	0	1.660765	1.818725	1.609416	1.46983	1.038215	1.346919	1.055429	0.76768	0.685263	1.220447	1.784522	0	1.194893	1.132687	0.695962	0.712367	0.695296	1.006514	1.187645	1.828726	1.432061	1.483634	0	1.101072	2.012141	1.249	0	1.277983	0.99091	0	1.532831	1.099318	2.907392	1.123846	0.766266	1.288612	1.09094	0	1.433112	0	1.719811	0.76753	1.067656	1.902664	1.041739	1.733084	1.870634	1.481621	0.753321	1.033634	1.507912	1.561339	1.402038	0.77212	1.479932	1.232002	1.082409	1.648687	0	1.248034	1.901042	1.627593	1.358691	1.637834	1.281035	1.119174	1.01185	0	0	1.225373	0.829518	1.079768	1.528983	1.456757	0.751215	0.729925	1.232441	0.907652	0.995514	0	0.729541	0.917553	0.767158	1.168593	1.318055	0.742694	1.127218	0.987002	0.769476	1.401585	0.668396	1.078457	0	1.032633	0.750656	1.233211	0.753886	0.740542	1.604525	1.35714	1.88113	0.726677	1.582779	1.198854	0	1.039235	0.604231	0	0.704799	0.934777	0.975934	0.701645	1.286499	0.758018	0	1.055524	0.947491	0.758737	0.747056	1.057175	1.963555	0.741885	0	1.302962	1.303449	0.62618	1.854573	0.768502	1.098658	0.890633	1.210384	1.408123
PPIL3_cluster3	0	0	0	0	0	1.736378	0	0	0	1.791192	0	1.28288	2.564978	0	1.390557	0	0	0	0	1.296611	1.8855	1.804846	0	0	0	1.316856	0	0	0	0	0	0	0	0	0	0	0	1.982503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.058815	0	0	0	0	1.109847	1.179568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998279	0	0	0	0	0	0	0	0	0	0	1.434273	0	0	0	0	0	1.414443	0	1.9852	0	0	0	1.675586	0	0	1.469946	0	0	0
RP11-105N14.1_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.409573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.439506	0	0	0	2.263756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.469933	0	0	0	0	0	2.203343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.616404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.119993	0	0	0	0	0	0
FARSB_cluster3	0	0	1.443156	0	0	0	1.140101	0	1.929163	0	0	0	0	0	0	1.609189	0	1.635867	0	0	0	1.478452	0	0	0	0	0	0	2.206246	1.503007	1.636469	0	1.327656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.576331	1.614652	1.55088	0	0	0	0	0	0	0	0	1.450745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.686668	1.536115	0	0	0	0	1.645415	0	0	0	0	2.103509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.663127	2.315807	0	1.626779	0	0	0	0	1.372567	0	0	0	1.380442	0	1.952114
MTERFD2_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.713511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.742558	0	0	0	0	0	0	0	0	0	0	1.788868	0	0	0	0	0	0	1.655391	0	0	0	0	0	1.678523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.369069	0	0	0	0	0	0	1.498022	1.643034	2.415129	0	0	0	0	0	0	0	0	0	0	1.560083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.469935	0	0
MTMR14_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.437835	0	0	0	0	0	0	0	0	0	0	0	1.587866	0	1.293298	0	0	0	0	2.827372	1.633805	0	0	1.383192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.607249	0	0	1.645968	0	0	1.631594	0	1.6373	0	0	0	2.048055	0	0	1.1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.992712	0	0	0	0	0	0	0	0	0	0	0	0	1.647914	0	0	0	0	0	0	0	0	0
RAF1_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.604743	0	1.690669	0	0	0	0	0	0	1.561611	0	0	0	0	2.047467	0	0	0	0	0	0	0	0	0	0	0	1.467368	2.48455	0	0	0	0	0	0	1.637794	0	0	1.506224	0	0	0	0	0	0	0	0	1.619932	0	0	1.749191	0	0	2.344349	0	0	0	0	0	0	0	0	0	0	0	1.483708	0	1.66236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.605136	0	0	0	0	0	2.289022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VILL_cluster3	0	0	0	0	0	1.984434	0	0	0	0	0	0	1.853985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.199243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.990246	0	0	0	0	0	0	0	2.295628	0	2.305504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL13B_cluster3	0	0	1.964179	0	2.301456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.745448	0	0	0	0	0	0	0	0	2.210084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.549294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTRNR2L12_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.980253	0	0	0	0	0	3.845452	0	0	0	2.942671	0	0	0	2.712626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.978474	0	0	0
RP11-475N22.4_cluster3	0	0	0	0	0	1.775399	1.423078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.845408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.856586	0	0	1.443506	0	0	0	0	0	0	1.476614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP63_cluster3	1.423014	0	0	0	1.517755	0	0	0	0	1.31697	0	0	0	1.416069	0	1.444355	0	0	0	0	0	0	0	0	0	1.369263	0	0	0	0	0	0	0	0	0	0	0	0	1.777915	0	0	0	0	1.387332	0	0	1.792702	1.239201	0	0	0	0	0	1.485311	0	0	0	0	1.457498	0	1.437978	0	1.373769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.228084	1.281749	0	0	1.212374	0	0	0	0	0	0	0	0	0	1.280406	1.373106	0	0	0	0	0	0	0	1.213132	0	0	0	0	1.398846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.318139	0	0	2.07993	0	0	0	1.480037	0	0	0	0	0	0	0	1.238959
SKIL_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.685217	0	0	0	0	0	0	0	0	0	0	0	0	1.811027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71361	0	1.434123	0	0	0	0	0	0	0	0	0	1.870668	0	0	0	0	0	0	0	0	1.950254	2.691802	0	0	0	0	0	1.954364	1.993758	0	0	0	0	0	0	0	0	0	0	0	1.980558	0	0	0	0	1.956052	0	0	0	0	0	1.912809	0	0	0	0	0	0	0	0	0	0	0	0	0	1.613995	0	0
FXR1_cluster3	0	0	1.128574	0	0	0	0.891581	1.263934	1.066771	1.147432	0	1.162209	1.039197	0	0	0	0	1.279281	0	0	0	1.156179	0	0	0	1.192992	0	0	1.219992	1.175381	0	1.227396	1.038253	0	0	0	0	0	1.095336	0	0	0	0	1.208735	0	1.313507	0	0	0	0	0	0	1.860642	1.294102	0	0	0	0	1.26987	0	0	0	0	0	0	0	0	0	1.631659	0	0	0	0	0	1.146163	0	0.959224	1.226462	0	0	0	0	0	0	0	0	0	0	0	1.206661	0	1.250552	0	1.315032	0	1.304442	1.273099	1.115576	1.19634	1.865358	0	0	0	1.33354	0	0	0	0	0	0.972419	0	1.21877	0	0	1.18647	0	0	0	0	0	0	0	1.700923	0	0	0	0	1.624155	0	0	1.281402	0	0	0	0	1.289988	0	0	0	0	0	1.197881	0
MAP3K13_cluster3	0	0	0	0	0	0	0	1.473991	1.244062	0	0	0	1.211903	0	0	0	0	0	0	1.369872	0	0	0	0	0	0	0	0	1.422744	0	0	0	0	0	0	0	0	0	1.277372	0	0	0	0	0	0	0	0	0	0	1.169573	1.412632	0	0	0	1.437592	0	0	0	1.480912	0	0	0	1.395837	0	1.543503	0	0	0	0	0	0	0	0	0	0	0	1.581996	1.43029	1.353617	0	0	0	0	0	0	0	0	0	2.222222	1.407196	0	0	0	0	1.348733	0	0	0	0	1.538216	0	1.336155	0	0	0	1.500597	0	1.50705	0	1.603758	1.356492	0	0	0	0	0	0	0	0	1.408925	0	0	0	0	1.515312	0	0	1.894078	0	0	0	0	0	0	0	0	0	1.401257	0	0	0	1.396961	0
ZNF595_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.057003	0	0	0	0	2.031709	0	0	0	0	0	2.090297	0	0	1.855802	0	0	0	0	0	0	0	0	0	0	0	0	1.838725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.124893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.800044	0	0	0	0	0	0	0	0	0	0	0	2.264972	0	0	0	2.048302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP46_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.122809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.970771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.096559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.079262	0	0	0	0	0	0	0	0	2.231275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPSS1_cluster3	0	0	1.293677	0	0	0	0	0	1.222829	1.860099	0	0	1.191222	0	1.444053	0	0	1.466428	0	0	1.38454	0	1.458677	0	0	0	0	0	0	1.347327	1.466966	0	0	0	1.766514	1.192091	1.41693	0	1.255572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.299542	2.058582	0	0	0	0	0	0	1.300481	0	0	0	1.509169	0	0	0	0	0	1.453272	1.09955	0	0	0	1.390129	0	0	0	1.280113	0	0	1.210826	0	0	0	1.433496	0	0	0	0	0	0	1.371353	1.511966	0	0	0	0	0	0	1.211586	0	1.455112	1.114675	0	0	0	1.46609	0	1.518503	1.443925	1.18727	0	0	0	0	0	0	0	0	0	0	0	1.46791	1.468857	0	1.457752	0	0	1.478702	1.230398	1.377342	0	0	0	0	0
MAD2L1_cluster3	1.711578	0	0	0	0	0	0.870325	0	1.472678	1.120076	0	0	1.014421	0	0	0	0	0	0	0	1.17905	0	0	0	1.094267	1.164551	0	0	0	0	0	1.198132	1.013499	0	1.84242	1.01516	0	0	1.512108	1.172442	1.281324	0	0	1.179919	1.085721	0	2.156231	1.053935	0	0.978989	0	2.175376	0	0	0	1.743141	0	0	1.239593	0	1.222992	0	2.0237	1.173013	0	1.56619	1.683211	1.280703	1.950723	1.285181	2.088334	2.082458	0	1.136745	1.937883	0	1.872709	2.394444	0	1.097752	1.183807	0	0	1.044481	0	0	0	1.458222	1.073932	1.177892	0	1.726384	0	0	0	0	0	0	0	0	0	0	1.804575	0	0	0	1.459133	0	0	1.342423	0	0	0	1.765639	1.158184	0	0	0	0	1.179339	0	0	0	0	0	1.681809	0	1.585434	0	1.250044	1.250852	0	0	0	0	0	1.481789	0	0	1.299931	1.053798	1.169325	0
PLRG1_cluster3	0	0	0	0	0	0	0	0	1.257108	0	0	0	1.22461	0	0	0	0	0	1.550716	0	0	1.362465	0	0	1.321	0	0	0	1.437661	0	0	0	2.119163	1.504633	0	1.225504	0	0	0	2.001642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.043945	0	0	0	0	1.259282	0	0	0	2.085191	0	0	0	0	0	0	0	0	1.537182	0	0	0	1.554346	0	0	0	1.571471	0	0	2.15735	1.522853	0	0	0	0	0	1.065739	0	0	0	1.220549	1.567252	1.423699	0	0	0	0	0	0	0	0	1.532651	0	0	1.499156	0	0	1.519582	0	0	1.415948	0	0	1.272144	0	0
SKP2_cluster3	0	0	1.570207	0	0	1.547585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.645308	0	0	0	0	0	0	0	0	0	1.776463	0	1.446907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.430298	0	1.735958	0	0	0	0	1.706397	0	0	0	1.398907	0	0	0	0	0	0	0	0	0	0	0	0	1.609093	0	0	0	0	1.835159	0	0	0	0	0	0	0	0	0	0	0	0	0	1.258281	0	0	0	0	0	0	0	0	0	0	0	2.397077	0	1.597858	0	0	0	0	0	0	0	0	2.111992	0	0	0	0	0	0
PDE4D_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.063066	0	0	0	0	0	0	0	0	0	0	1.852644	0	0	1.855678	0	0	2.76408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.164949	0	0	0	0	0	2.271698	0	0	0	0	0	0	0	0	0	1.886028	0	0	0	0	0	0	0	0	0	0	0	2.37316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.301834	0	0	0	2.37623	0	0	0
GFM2_cluster3	0	0	0	0	0	0	2.292839	0	0	0	0	0	0	2.243537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.218472	0	0	0	0	0	0	2.674401	0	0	0	0	0	0	0	2.198006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.744285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAIP2_cluster3	0.281134	0.247159	0.147748	0	0.244827	0.252221	0.260998	0.165469	0.139657	0.212439	0.23424	0.263534	0.1924	0	0.164923	0	0	0.167478	0	0.153781	0.158126	0.302724	0.166593	0.268148	0.293511	0.156182	0.226081	0	0.225873	0.344077	0	0.278315	0	0	0.247093	0.235812	0.161825	0	0.320645	0.272348	0	0.243233	0.302143	0.158243	0.205923	0.243186	0.144589	0.244819	0.275671	0.293585	0.317162	0.145873	0.298333	0.169419	0.279523	0.165306	0	0.148418	0.166246	0.239078	0.16402	0.338392	0.156696	0.222479	0	0.210047	0.356927	0	0.30209	0.17236	0.280073	0.161245	0	0.152452	0.212204	0.165976	0.217507	0.160563	0.214898	0.254998	0.224526	0.13163	0.242312	0.198101	0.206758	0.23841	0.231653	0.138286	0.381064	0.315942	0.164193	0.327434	0.32557	0	0.151407	0.241508	0.288679	0.32657	0.271274	0.299089	0.272392	0.149995	0	0.246896	0.163861	0.291774	0.239669	0.378299	0.166186	0.220499	0.373005	0.319113	0	0.118398	0.155328	0.173426	0.233215	0.332142	0.348226	0.273949	0.17128	0.21901	0.222678	0.166684	0.340215	0.225553	0	0	0.170269	0.290374	0.335512	0	0	0	0.168817	0	0.24339	0.157304	0.243896	0.246551	0.282656	0.156822	0.141319
DUSP22_cluster3	0	0	0	0	0	0	0	0	0	1.606004	0	1.62669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.453193	0	0	0	0	0	0	0	0	0	0	0	2.201574	0	1.54584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.852496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.407288	0	0	0	0	0	0	0	1.688902	0	1.750337	0	0	1.618734	0	0	0	0	0	0	0	0	1.866491	0	0	0	1.808748	0	0	0	0	0	0	0	0	0	0	0	0	1.294851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.553411	0	0	0	0	0	0	0
NQO2_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.425226	0	0	0	0	0	0	1.214903	1.444046	0	0	0	0	0	0	0	0	0	0	1.261305	0	0	0	0	0	0	0	0	0	2.293949	0	0	0	0	0	0	0	1.325368	0	0	0	0	1.442931	0	0	0	0	1.481084	0	0	0	0	0	0	0	0	0	0	1.461701	0	1.285239	1.409652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.234771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.146714	0	0	1.341652	0	0	0	0	0	0	0	1.507	0	0	0	0	1.261142	1.3994	0
PAK1IP1_cluster3	1.53144	1.346365	0	1.633561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.450941	1.491938	0	0	0	0	0	1.508327	0	1.506941	0	0	0	0	0	0	1.284558	0	0	0	0	0	0	0	0	0	0	1.364221	1.333623	0	0	0	1.376332	0	0	0	0	0	0	0	0	1.547546	0	0	0	0	0	0	1.620568	0	0	1.525661	0	1.541178	0	0	1.566001	1.184842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.483819	0	0	0	0	0	0	0	0	1.201137	0	0	1.538626	1.117099	0	0	1.555931	0	0	0	1.14272	1.461157	0	1.572682	0	0	0	1.418573	0	0	0	0	0	0	0	0	0	0	0	0	1.333447	0	0
DEK_cluster3	0	1.234828	1.47633	0	0	2.057768	0.583154	0.826699	0.697741	0	0	1.316643	1.359412	0	0.82397	1.164027	0.871878	1.673472	0.860707	1.086545	0	1.069453	0	0.773471	1.036909	1.560596	0	0.779551	1.128481	0	1.449803	1.390489	1.176214	0	1.007963	1.360401	1.143381	0	1.013178	1.110986	0	0.859288	1.23253	0	1.028815	0	1.444766	0	0.795172	1.311926	0	0.728797	1.216988	1.197034	1.396524	0	1.121847	1.658071	1.174619	1.194458	0	0.84532	0.782866	1.111526	1.224263	1.659271	0	0.858125	1.848472	0.861125	1.142502	1.395335	1.413503	1.077158	1.499337	1.172711	0.627398	1.389432	1.314949	0.735542	1.121758	1.139061	1.210611	1.212167	1.633285	1.191117	1.636753	1.692333	1.017639	2.495786	0.820326	0.817946	0	0	1.069776	1.477775	0.832693	1.631573	1.106607	0	1.360897	1.498783	0.854992	0	0.818665	1.190231	1.955364	0.845241	0.83028	1.422203	1.075932	1.127351	1.152211	1.67309	1.097474	0	0	0.958061	1.945122	0.790206	1.482171	0.773714	2.081334	0.832769	1.201903	1.126881	0	1.502328	1.473421	1.450738	2.052973	1.17675	0.831785	1.501183	0	0	2.106177	1.757336	0.861628	0	1.57886	1.357056	1.412084
ALDH5A1_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.755611	0	0	0	0	0	0	0	0	0	0	0	1.822666	0	0	0	0	0	0	0	0	0	0	0	0	0	2.181788	0	0	0	0	0	2.214836	0	0	0	2.079259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.177708	0	0	0	0	0	0	0
LTB_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094833	0.892679	0	0	0	0	0	0	0	0	0.801741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833775	0	0	0	0	0	0	0	0	0	0	0.918604	0	0	0.744097	0	0	0	0	0	0
L3MBTL3_cluster3	0	0	2.085433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.220482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.022284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.301752	1.671152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
